split_point,batch_size,offload_model_state_sp_num,client_offload_activation_mb_num,server_offload_activation_mb_num,client_max_mem_alloc_mb,server_max_mem_alloc_mb,filename
3,8,1,2,2,5047.5679,18624.6587,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_1_soa_2.json
3,8,1,2,4,5047.5679,15074.8618,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_1_soa_4.json
3,8,1,2,6,5047.5679,11518.1899,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_1_soa_6.json
3,8,1,2,8,5047.5679,7961.5181,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_1_soa_8.json
3,8,2,2,0,4855.2388,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_2.json
3,8,2,2,1,4855.2388,18624.2935,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_2_soa_1.json
3,8,2,2,2,4855.2388,18624.6587,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_2_soa_2.json
3,8,2,2,4,4855.2388,15074.8618,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_2_soa_4.json
3,8,2,2,6,4855.2388,11518.1899,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_2_soa_6.json
3,8,2,2,8,4855.2388,7961.5181,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_2_soa_8.json
3,8,3,2,0,4662.9097,18623.9282,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_3.json
3,8,3,2,1,4662.9097,18624.2935,sp_3_b_8_mb_1_s_512_ws_1_mbps_230_pipedream_wc_lora_coa_2_cos_3_soa_1.json
